Date,Revenue
2024-01-01,0.0
2024-01-02,-0.29235551
2024-01-03,-0.327771797
2024-01-04,-0.339987124
2024-01-05,-0.124887516
2024-01-06,-0.491589564
2024-01-07,-1.255249811
2024-01-08,-1.896278894
2024-01-09,-1.747259385
2024-01-10,-2.129557666
2024-01-11,-2.151421873
2024-01-12,-3.228636996
2024-01-13,-2.82261611
2024-01-14,-3.609712765
2024-01-15,-3.398875124
2024-01-16,-2.86742462
2024-01-17,-2.714606918
2024-01-18,-2.021083992
2024-01-19,-1.126014167
2024-01-20,-0.845545147
2024-01-21,-1.187849066
2024-01-22,-1.59336888
2024-01-23,-2.233633574
2024-01-24,-2.982968143
2024-01-25,-3.749676183
2024-01-26,-4.068317954
2024-01-27,-4.172911745
2024-01-28,-4.423298703
2024-01-29,-3.773237316
2024-01-30,-3.130365934
2024-01-31,-3.066997384
2024-02-01,-2.22210903
2024-02-02,-1.354650789
2024-02-03,-0.4158986
2024-02-04,0.088848229
2024-02-05,0.986810894
2024-02-06,1.072086118
2024-02-07,0.57528878
2024-02-08,0.778475881
2024-02-09,0.73196193
2024-02-10,1.267407631
2024-02-11,1.277651113
2024-02-12,1.929653231
2024-02-13,1.889880294
2024-02-14,2.117565859
2024-02-15,1.508082592
2024-02-16,1.363420928
2024-02-17,1.5739201
2024-02-18,2.230154152
2024-02-19,2.300218825
2024-02-20,2.192618171
2024-02-21,1.688464709
2024-02-22,0.972800561
2024-02-23,0.111183529
2024-02-24,-0.760918283
2024-02-25,-1.136513527
2024-02-26,-1.009243327
2024-02-27,-0.796619163
2024-02-28,-1.059523171
2024-02-29,-1.356564471
2024-03-01,-0.820546228
2024-03-02,-0.210374093
2024-03-03,-0.719979082
2024-03-04,-0.975571569
2024-03-05,-0.897997487
2024-03-06,-1.482087197
2024-03-07,-1.718531822
2024-03-08,-1.944984194
2024-03-09,-2.081631254
2024-03-10,-1.677598826
2024-03-11,-0.857027501
2024-03-12,0.138078077
2024-03-13,0.292251765
2024-03-14,0.715324746
2024-03-15,0.999854011
2024-03-16,1.382473235
2024-03-17,1.779406713
2024-03-18,2.527373277
2024-03-19,3.035813107
2024-03-20,3.162815518
2024-03-21,2.567444507
2024-03-22,1.699930964
2024-03-23,1.619725289
2024-03-24,2.15744872
2024-03-25,3.336191289
2024-03-26,3.823949445
2024-03-27,4.295426063
2024-03-28,4.646727181
2024-03-29,4.178092741
2024-03-30,3.513940459
2024-03-31,3.412366141
2024-04-01,3.310757851
2024-04-02,3.821666585
2024-04-03,4.630439832
2024-04-04,5.326769228
2024-04-05,5.225890661
2024-04-06,5.043154719
2024-04-07,5.145071132
2024-04-08,5.220071263
2024-04-09,5.850376781
2024-04-10,6.09648893
2024-04-11,6.12546089
2024-04-12,6.823092411
2024-04-13,6.44069962
2024-04-14,6.390622651
2024-04-15,5.865701516
2024-04-16,5.354234968
2024-04-17,5.273785113
2024-04-18,5.057449711
2024-04-19,4.834785462
2024-04-20,4.140516377
2024-04-21,3.563623506
2024-04-22,3.616584573
2024-04-23,3.698357666
2024-04-24,3.621707249
2024-04-25,3.937939575
2024-04-26,5.171705719
2024-04-27,5.203901617
2024-04-28,5.361313731
2024-04-29,4.98890073
2024-04-30,4.770444154
2024-05-01,4.900361231
2024-05-02,5.053239206
2024-05-03,6.006571435
2024-05-04,5.930324883
2024-05-05,5.715437659
2024-05-06,5.629035991
2024-05-07,6.489862482
2024-05-08,6.712767987
2024-05-09,7.197059269
2024-05-10,7.036166876
2024-05-11,7.1004112
2024-05-12,7.97131468
2024-05-13,8.965328681
2024-05-14,8.802083408
2024-05-15,9.198883337
2024-05-16,9.647997239
2024-05-17,10.64242361
2024-05-18,10.87305828
2024-05-19,10.86136081
2024-05-20,11.10909178
2024-05-21,11.15183669
2024-05-22,10.57215633
2024-05-23,10.71685029
2024-05-24,10.3796089
2024-05-25,10.60628747
2024-05-26,10.60806877
2024-05-27,10.63457878
2024-05-28,10.89393966
2024-05-29,10.82687488
2024-05-30,10.95761761
2024-05-31,10.54065737
2024-06-01,10.45554673
2024-06-02,10.59949748
2024-06-03,11.04588172
2024-06-04,11.52234191
2024-06-05,11.34734423
2024-06-06,11.57505258
2024-06-07,10.87052261
2024-06-08,10.91859971
2024-06-09,11.7289112
2024-06-10,12.3552438
2024-06-11,12.50978326
2024-06-12,13.09759974
2024-06-13,13.06058006
2024-06-14,13.15472692
2024-06-15,13.21953178
2024-06-16,13.70950155
2024-06-17,14.03037405
2024-06-18,14.09952605
2024-06-19,13.8102158
2024-06-20,13.53283397
2024-06-21,13.34737095
2024-06-22,13.64552297
2024-06-23,13.05270212
2024-06-24,12.54338309
2024-06-25,12.51023704
2024-06-26,11.49645527
2024-06-27,11.0640036
2024-06-28,10.91348824
2024-06-29,11.02021545
2024-06-30,11.59504505
2024-07-01,11.52909833
2024-07-02,11.21456868
2024-07-03,11.0544345
2024-07-04,11.24443203
2024-07-05,11.12431599
2024-07-06,11.67838468
2024-07-07,11.5316581
2024-07-08,11.62863107
2024-07-09,11.28259614
2024-07-10,11.80001114
2024-07-11,10.9893474
2024-07-12,10.50358016
2024-07-13,9.861485686
2024-07-14,10.03416379
2024-07-15,10.08627842
2024-07-16,9.553115618
2024-07-17,9.41233969
2024-07-18,9.747485639
2024-07-19,9.442697611
2024-07-20,9.941014579
2024-07-21,9.895098199
2024-07-22,9.531749701
2024-07-23,9.248624471
2024-07-24,9.232392818
2024-07-25,9.371470651
2024-07-26,10.70447637
2024-07-27,10.80789525
2024-07-28,10.23711276
2024-07-29,9.386162953
2024-07-30,9.596534917
2024-07-31,10.26465563
2024-08-01,10.52707705
2024-08-02,11.31493865
2024-08-03,12.11628343
2024-08-04,12.01820955
2024-08-05,12.38268926
2024-08-06,13.28355365
2024-08-07,14.27765592
2024-08-08,15.33083155
2024-08-09,15.91018951
2024-08-10,15.92287096
2024-08-11,16.04580246
2024-08-12,15.71461819
2024-08-13,15.5261249
2024-08-14,15.53723932
2024-08-15,15.5385465
2024-08-16,16.54513094
2024-08-17,16.71738749
2024-08-18,17.15379376
2024-08-19,16.87350767
2024-08-20,16.01998436
2024-08-21,15.74730154
2024-08-22,16.17500206
2024-08-23,16.43686264
2024-08-24,16.72761626
2024-08-25,16.68317242
2024-08-26,16.05986155
2024-08-27,15.95183003
2024-08-28,16.26091436
2024-08-29,17.51151503
2024-08-30,18.124238
2024-08-31,18.39935094
2024-09-01,18.60895766
2024-09-02,19.25965933
2024-09-03,19.39897911
2024-09-04,19.8167913
2024-09-05,20.17202384
2024-09-06,20.0292564
2024-09-07,20.48237962
2024-09-08,21.24176639
2024-09-09,21.44107894
2024-09-10,21.32805991
2024-09-11,20.52548866
2024-09-12,19.99965124
2024-09-13,20.30960671
2024-09-14,20.76375889
2024-09-15,21.18108986
2024-09-16,21.73002354
2024-09-17,22.38507705
2024-09-18,23.27109385
2024-09-19,23.10810298
2024-09-20,22.80780801
2024-09-21,22.45721597
2024-09-22,23.14323958
2024-09-23,24.25454098
2024-09-24,24.39029659
2024-09-25,24.24192076
2024-09-26,23.31085247
2024-09-27,23.11125888
2024-09-28,23.10119411
2024-09-29,23.55154135
2024-09-30,23.47918839
2024-10-01,23.58015145
2024-10-02,23.09946413
